Sequence,Domain,Family,Species
Shigella flexneri 2002035 draft (300 frags),BacteriaFamilies,Enterobacteriaceae,Shigella flexneri
Shigella flexneri 2002028 draft (297 frags),BacteriaFamilies,Enterobacteriaceae,Shigella flexneri
Shigella flexneri Shi06HN250 draft (306 frags),BacteriaFamilies,Enterobacteriaceae,Shigella flexneri
Shigella flexneri Shi06AH135 draft (302 frags),BacteriaFamilies,Enterobacteriaceae,Shigella flexneri
Shigella flexneri Shi06HN023 draft (299 frags),BacteriaFamilies,Enterobacteriaceae,Shigella flexneri
Shigella flexneri Shi06AH091 draft (304 frags),BacteriaFamilies,Enterobacteriaceae,Shigella flexneri
Shigella flexneri 2005184 draft (316 frags),BacteriaFamilies,Enterobacteriaceae,Shigella flexneri
Shigella flexneri 2002021 draft (310 frags),BacteriaFamilies,Enterobacteriaceae,Shigella flexneri
Shigella flexneri Shi06HN006,BacteriaFamilies,Enterobacteriaceae,Shigella flexneri
Shigella phage SfII,ViralFamilies,Myoviridae,Shigella phage SfII
Shigella sonnei plasmid pKYM ,BacteriaFamilies,Enterobacteriaceae,Shigella sonnei
Shigella sonnei plasmid P9 DNA ,BacteriaFamilies,Enterobacteriaceae,Shigella sonnei
Shigella sonnei 53G plasmid B,BacteriaFamilies,Enterobacteriaceae,Shigella sonnei
Sodalis-like symbiont of Philaenus spumarius strain PSPU draft (562 frags),BacteriaFamilies,Enterobacteriaceae,Sodalis-like symbiont of Philaenus spumarius
Staphylococcus capitis QN1 draft (30 frags),BacteriaFamilies,Staphylococcaceae,Staphylococcus capitis
Staphylococcus sp. C87 Staphylococcus caprae C87 draft (46 frags),BacteriaFamilies,Staphylococcaceae,Staphylococcus caprae
Staphylococcus epidermidis ATCC 12228 plasmid pSE-12228-04 ,BacteriaFamilies,Staphylococcaceae,Staphylococcus epidermidis
Staphylococcus epidermidis VCU045 draft (62 frags),BacteriaFamilies,Staphylococcaceae,Staphylococcus epidermidis
Staphylococcus aureus subsp. aureus IS-K draft (57 frags),BacteriaFamilies,Staphylococcaceae,Staphylococcus epidermidis
Staphylococcus aureus subsp. aureus IS-250 draft (66 frags),BacteriaFamilies,Staphylococcaceae,Staphylococcus epidermidis
Staphylococcus epidermidis AU12-03 draft (50 frags),BacteriaFamilies,Staphylococcaceae,Staphylococcus epidermidis
Staphylococcus epidermidis NIHLM020 draft (64 frags),BacteriaFamilies,Staphylococcaceae,Staphylococcus epidermidis
Staphylococcus epidermidis NIHLM057 draft (104 frags),BacteriaFamilies,Staphylococcaceae,Staphylococcus epidermidis
Staphylococcus epidermidis NIHLM001 draft (87 frags),BacteriaFamilies,Staphylococcaceae,Staphylococcus epidermidis
Staphylococcus epidermidis VCU129 draft (36 frags),BacteriaFamilies,Staphylococcaceae,Staphylococcus epidermidis
Staphylococcus epidermidis VCU127 draft (81 frags),BacteriaFamilies,Staphylococcaceae,Staphylococcus epidermidis
Staphylococcus epidermidis VCU126 draft (80 frags),BacteriaFamilies,Staphylococcaceae,Staphylococcus epidermidis
Staphylococcus epidermidis VCU123 draft (80 frags),BacteriaFamilies,Staphylococcaceae,Staphylococcus epidermidis
Staphylococcus epidermidis VCU120 draft (61 frags),BacteriaFamilies,Staphylococcaceae,Staphylococcus epidermidis
Staphylococcus epidermidis VCU128 draft (58 frags),BacteriaFamilies,Staphylococcaceae,Staphylococcus epidermidis
Staphylococcus epidermidis VCU065 draft (87 frags),BacteriaFamilies,Staphylococcaceae,Staphylococcus epidermidis
Staphylococcus epidermidis 528m draft (117 frags),BacteriaFamilies,Staphylococcaceae,Staphylococcus epidermidis
Staphylococcus epidermidis 41tr draft (100 frags),BacteriaFamilies,Staphylococcaceae,Staphylococcus epidermidis
Staphylococcus epidermidis Scl22 draft (501 frags),BacteriaFamilies,Staphylococcaceae,Staphylococcus epidermidis
Staphylococcus epidermidis MC28 draft (362 frags),BacteriaFamilies,Staphylococcaceae,Staphylococcus epidermidis
Staphylococcus epidermidis MC16 draft (421 frags),BacteriaFamilies,Staphylococcaceae,Staphylococcus epidermidis
Staphylococcus epidermidis E13A draft (56 frags),BacteriaFamilies,Staphylococcaceae,Staphylococcus epidermidis
Staphylococcus epidermidis Scl19 draft (143 frags),BacteriaFamilies,Staphylococcaceae,Staphylococcus epidermidis
Staphylococcus epidermidis MC19 draft (219 frags),BacteriaFamilies,Staphylococcaceae,Staphylococcus epidermidis
Staphylococcus epidermidis MC16 draft (246 frags),BacteriaFamilies,Staphylococcaceae,Staphylococcus epidermidis
Staphylococcus epidermidis WI09 draft (95 frags),BacteriaFamilies,Staphylococcaceae,Staphylococcus epidermidis
Staphylococcus epidermidis Scl31 draft (401 frags),BacteriaFamilies,Staphylococcaceae,Staphylococcus epidermidis
Staphylococcus epidermidis APO35 draft (263 frags),BacteriaFamilies,Staphylococcaceae,Staphylococcus epidermidis
Staphylococcus aureus M0026 Staphylococcus epidermidis M0026 draft (69 frags),BacteriaFamilies,Staphylococcaceae,Staphylococcus epidermidis
Staphylococcus epidermidis VCU050 draft (43 frags),BacteriaFamilies,Staphylococcaceae,Staphylococcus epidermidis
Staphylococcus epidermidis VCU036 draft (68 frags),BacteriaFamilies,Staphylococcaceae,Staphylococcus epidermidis
Staphylococcus epidermidis strain 8400 draft (45 frags),BacteriaFamilies,Staphylococcaceae,Staphylococcus epidermidis
Staphylococcus epidermidis AG42 draft (9 frags),BacteriaFamilies,Staphylococcaceae,Staphylococcus epidermidis
Staphylococcus epidermidis strain ET-024 draft (102 frags),BacteriaFamilies,Staphylococcaceae,Staphylococcus epidermidis
Staphylococcus sp. C80 Staphylococcus hominis subsp. hominis C80 draft (41 frags),BacteriaFamilies,Staphylococcaceae,Staphylococcus hominis
Staphylococcus lugdunensis VCU148 draft (56 frags),BacteriaFamilies,Staphylococcaceae,Staphylococcus lugdunensis
Staphylococcus lugdunensis VCU150 draft (28 frags),BacteriaFamilies,Staphylococcaceae,Staphylococcus lugdunensis
Staphylococcus pasteuri SP1,BacteriaFamilies,Staphylococcaceae,Staphylococcus pasteuri
Staphylococcus epidermidis VCU012 Staphylococcus pettenkoferi VCU012 draft (116 frags),BacteriaFamilies,Staphylococcaceae,Staphylococcus pettenkoferi
Staphylococcus sp. DORA_6_22 draft (385 frags),BacteriaFamilies,Staphylococcaceae,Staphylococcus sp. DORA_6_22
Staphylococcus sp. E463 draft (118 frags),BacteriaFamilies,Staphylococcaceae,Staphylococcus sp. E463
Staphylococcus warneri SG1,BacteriaFamilies,Staphylococcaceae,Staphylococcus warneri
Staphylococcus warneri strain NGS-ED-1001 draft (12 frags),BacteriaFamilies,Staphylococcaceae,Staphylococcus warneri
Lachnospiraceae bacterium ACC2 draft (16 frags),BacteriaFamilies,Lachnospiraceae,Stomatobaculum longum
Streptococcus agalactiae GB00097 draft (31 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae 1003A Streptococcus agalactiae str. Gottschalk 1003A draft (41 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae LDS 617 draft (132 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae BSU108 draft (24 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae LMG 15091 draft (36 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae CCUG 37742 draft (46 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae FSL S3-003 draft (32 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae FSL S3-603 draft (105 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae GB00111 draft (34 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae 1005B Streptococcus agalactiae str. Gottschalk 1005B draft (60 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae MRI Z1-216 draft (86 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae MRI Z1-211 draft (21 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae BSU92 draft (18 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae CCUG 39096 A draft (21 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae FSL F2-343 draft (17 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae FSL S3-277 draft (91 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae GB00947 draft (268 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae GB00911 draft (25 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae GB00909 draft (22 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae GB00874 draft (40 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae GB00535 draft (24 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae GB00247 draft (16 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae GB00241 draft (20 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae GB00865 draft (45 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae GB00279 draft (27 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae GB00264 draft (32 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae GB00245 draft (18 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae GB00206 draft (33 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae SS1219 draft (70 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae MRI Z1-023 draft (23 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae MRI Z1-022 draft (76 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae CCUG 49086 draft (32 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae CCUG 44104 draft (173 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae CCUG 37736 draft (40 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae CCUG 28551 draft (113 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae FSL S3-268 draft (74 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae MRI Z1-035 draft (43 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae LMG 15081 draft (16 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae CCUG 44140 draft (22 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae CCUG 37739 draft (22 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae CCUG 30636 draft (22 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae FSL C1-487 draft (124 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae SS1218 draft (70 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae GB01004 draft (82 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae STIR-CD-01 draft (42 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae MRI Z1-200 draft (22 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae 998A Streptococcus agalactiae str. Gottschalk 998A draft (41 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae 2864 Streptococcus agalactiae str. Gottschalk 2864 draft (41 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae LDS 623 draft (129 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae 2603V/R chromosome,BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae GBS12 draft (95 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae MC621 draft (45 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae MC627 draft (130 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae MC632 draft (403 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae 138P,BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae SGBS002 draft (21 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae SGBS005 draft (25 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae strain FNA07 draft (66 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae strain ENC06 draft (70 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae SGBS029 draft (22 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae SGBS027 draft (22 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae SGBS001 draft (23 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae SGBS006 draft (23 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae SGBS014 draft (28 frags),BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus agalactiae strain GBS6,BacteriaFamilies,Streptococcaceae,Streptococcus agalactiae
Streptococcus anginosus subsp. whileyi MAS624 DNA,BacteriaFamilies,Streptococcaceae,Streptococcus anginosus
Streptococcus anginosus SK52 = DSM 20563 strain SK52 draft (109 frags),BacteriaFamilies,Streptococcaceae,Streptococcus anginosus
Streptococcus criceti HS-6 draft (2 frags),BacteriaFamilies,Streptococcaceae,Streptococcus criceti
Streptococcus criceti HS-6 draft (2 frags),BacteriaFamilies,Streptococcaceae,Streptococcus criceti
Streptococcus cristatus ATCC 51100 draft (31 frags),BacteriaFamilies,Streptococcaceae,Streptococcus cristatus
Streptococcus cristatus ATCC 51100 draft (31 frags),BacteriaFamilies,Streptococcaceae,Streptococcus cristatus
Streptococcus downei F0415 draft (17 frags),BacteriaFamilies,Streptococcaceae,Streptococcus downei
Streptococcus dysgalactiae subsp. equisimilis SK1250,BacteriaFamilies,Streptococcaceae,Streptococcus dysgalactiae
Streptococcus dysgalactiae subsp. equisimilis SK1249 draft (231 frags),BacteriaFamilies,Streptococcaceae,Streptococcus dysgalactiae
Streptococcus dysgalactiae subsp. equisimilis AC-2713,BacteriaFamilies,Streptococcaceae,Streptococcus dysgalactiae
Streptococcus dysgalactiae subsp. equisimilis RE378,BacteriaFamilies,Streptococcaceae,Streptococcus dysgalactiae
Streptococcus dysgalactiae subsp. equisimilis 167 DNA,BacteriaFamilies,Streptococcaceae,Streptococcus dysgalactiae
Streptococcus equi subsp. zooepidemicus BHS5 draft (11 frags),BacteriaFamilies,Streptococcaceae,Streptococcus equi
Streptococcus equi subsp. zooepidemicus S31A1 Streptococcus equi subsp. zooepidemicus SzS31A1 draft (89 frags),BacteriaFamilies,Streptococcaceae,Streptococcus equi
Streptococcus equi subsp. ruminatorum CECT 5772 draft (117 frags),BacteriaFamilies,Streptococcaceae,Streptococcus equi
Streptococcus bovis ATCC 700338 draft (38 frags),BacteriaFamilies,Streptococcaceae,Streptococcus equinus
Streptococcus bovis ATCC 700338 draft (38 frags),BacteriaFamilies,Streptococcaceae,Streptococcus equinus
Streptococcus bovis JB1 Streptococcus equinus JB1 draft (45 frags),BacteriaFamilies,Streptococcaceae,Streptococcus equinus
Streptococcus gallolyticus UCN34 chromosome,BacteriaFamilies,Streptococcaceae,Streptococcus gallolyticus
Streptococcus infantis SK1302 draft (148 frags),BacteriaFamilies,Streptococcaceae,Streptococcus infantis
Streptococcus infantis SK1302 draft (148 frags),BacteriaFamilies,Streptococcaceae,Streptococcus infantis
Streptococcus iniae 9117 draft (3 frags),BacteriaFamilies,Streptococcaceae,Streptococcus iniae
Streptococcus iniae IUSA1 draft (296 frags),BacteriaFamilies,Streptococcaceae,Streptococcus iniae
Streptococcus iniae KCTC 11634BP draft (174 frags),BacteriaFamilies,Streptococcaceae,Streptococcus iniae
Streptococcus iniae 9117 draft (3 frags),BacteriaFamilies,Streptococcaceae,Streptococcus iniae
Streptococcus intermedius BA1 draft (48 frags),BacteriaFamilies,Streptococcaceae,Streptococcus intermedius
Streptococcus macedonicus ACA-DC 198,BacteriaFamilies,Streptococcaceae,Streptococcus macedonicus
Streptococcus macedonicus ACA-DC 198 plasmid pSMA198 ,BacteriaFamilies,Streptococcaceae,Streptococcus macedonicus
Streptococcus massiliensis DSM 18628 draft (87 frags),BacteriaFamilies,Streptococcaceae,Streptococcus massiliensis
Streptococcus mitis SK564 draft (35 frags),BacteriaFamilies,Streptococcaceae,Streptococcus mitis
Streptococcus mitis bv. 2 str. F0392 draft (2 frags),BacteriaFamilies,Streptococcaceae,Streptococcus mitis
Streptococcus mitis strain SK667 draft (15 frags),BacteriaFamilies,Streptococcaceae,Streptococcus mitis
Streptococcus mutans UA159 chromosome,BacteriaFamilies,Streptococcaceae,Streptococcus mutans
Streptococcus mutans GS-5 chromosome,BacteriaFamilies,Streptococcaceae,Streptococcus mutans
Streptococcus mutans SM4 draft (152 frags),BacteriaFamilies,Streptococcaceae,Streptococcus mutans
Streptococcus mutans NMT4863 draft (97 frags),BacteriaFamilies,Streptococcaceae,Streptococcus mutans
Streptococcus mutans 5SM3 draft (86 frags),BacteriaFamilies,Streptococcaceae,Streptococcus mutans
Streptococcus mutans 11A1 draft (111 frags),BacteriaFamilies,Streptococcaceae,Streptococcus mutans
Streptococcus mutans OMZ175 draft (130 frags),BacteriaFamilies,Streptococcaceae,Streptococcus mutans
Streptococcus mutans S1B draft (132 frags),BacteriaFamilies,Streptococcaceae,Streptococcus mutans
Streptococcus mutans NLML4 draft (116 frags),BacteriaFamilies,Streptococcaceae,Streptococcus mutans
Streptococcus mutans T4 draft (113 frags),BacteriaFamilies,Streptococcaceae,Streptococcus mutans
Streptococcus mutans NVAB draft (102 frags),BacteriaFamilies,Streptococcaceae,Streptococcus mutans
Streptococcus mutans 11VS1 draft (155 frags),BacteriaFamilies,Streptococcaceae,Streptococcus mutans
Streptococcus mutans M230 draft (139 frags),BacteriaFamilies,Streptococcaceae,Streptococcus mutans
Streptococcus mutans SA41 draft (104 frags),BacteriaFamilies,Streptococcaceae,Streptococcus mutans
Streptococcus mutans NCTC 11060 draft (36 frags),BacteriaFamilies,Streptococcaceae,Streptococcus mutans
Streptococcus mutans KK23 draft (38 frags),BacteriaFamilies,Streptococcaceae,Streptococcus mutans
Streptococcus mutans KK21 draft (2 frags),BacteriaFamilies,Streptococcaceae,Streptococcus mutans
Streptococcus mutans TCI-256 draft (110 frags),BacteriaFamilies,Streptococcaceae,Streptococcus mutans
Streptococcus mutans TCI-268 draft (92 frags),BacteriaFamilies,Streptococcaceae,Streptococcus mutans
Streptococcus mutans TCI-260 draft (141 frags),BacteriaFamilies,Streptococcaceae,Streptococcus mutans
Streptococcus mutans TCI-219 draft (131 frags),BacteriaFamilies,Streptococcaceae,Streptococcus mutans
Streptococcus mutans TCI-218 draft (136 frags),BacteriaFamilies,Streptococcaceae,Streptococcus mutans
Streptococcus mutans TCI-162 draft (130 frags),BacteriaFamilies,Streptococcaceae,Streptococcus mutans
Streptococcus mutans TCI-151 draft (121 frags),BacteriaFamilies,Streptococcaceae,Streptococcus mutans
Streptococcus mutans TCI-145 draft (99 frags),BacteriaFamilies,Streptococcaceae,Streptococcus mutans
Streptococcus mutans TCI-138 draft (131 frags),BacteriaFamilies,Streptococcaceae,Streptococcus mutans
Streptococcus mutans TCI-177 draft (110 frags),BacteriaFamilies,Streptococcaceae,Streptococcus mutans
Streptococcus mutans TCI-154 draft (120 frags),BacteriaFamilies,Streptococcaceae,Streptococcus mutans
Streptococcus mutans TCI-146 draft (143 frags),BacteriaFamilies,Streptococcaceae,Streptococcus mutans
Streptococcus mutans B111SM-A draft (39 frags),BacteriaFamilies,Streptococcaceae,Streptococcus mutans
Streptococcus mutans str. B16 P Sm1 draft (58 frags),BacteriaFamilies,Streptococcaceae,Streptococcus mutans
Streptococcus sanguinis ATCC 49296 draft (20 frags),BacteriaFamilies,Streptococcaceae,Streptococcus oralis
Streptococcus oralis SK610 draft (31 frags),BacteriaFamilies,Streptococcaceae,Streptococcus oralis
Streptococcus oralis SK10 draft (39 frags),BacteriaFamilies,Streptococcaceae,Streptococcus oralis
Streptococcus oralis SK1074 draft (20 frags),BacteriaFamilies,Streptococcaceae,Streptococcus oralis
Streptococcus oralis strain SK141 draft (11 frags),BacteriaFamilies,Streptococcaceae,Streptococcus oralis
Streptococcus orisratti DSM 15617 draft (92 frags),BacteriaFamilies,Streptococcaceae,Streptococcus orisratti
Streptococcus parasanguinis ATCC 903 draft (84 frags),BacteriaFamilies,Streptococcaceae,Streptococcus parasanguinis
Streptococcus parasanguinis ATCC 903 draft (84 frags),BacteriaFamilies,Streptococcaceae,Streptococcus parasanguinis
Streptococcus peroris ATCC 700780 draft (17 frags),BacteriaFamilies,Streptococcaceae,Streptococcus peroris
Streptococcus peroris ATCC 700780 draft (17 frags),BacteriaFamilies,Streptococcaceae,Streptococcus peroris
Streptococcus phage 858,ViralFamilies,Siphoviridae,Streptococcus phage 858
Streptococcus phage DT1,ViralFamilies,Siphoviridae,Streptococcus phage DT1
Streptococcus phage Sfi19,ViralFamilies,Siphoviridae,Streptococcus phage Sfi19
Streptococcus plurextorum DSM 22810 draft (36 frags),BacteriaFamilies,Streptococcaceae,Streptococcus plurextorum
Streptococcus pneumoniae TIGR4 draft (218 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae CCRI 1974M2 draft (130 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae str. Canada MDR_19A draft (127 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae BS457 draft (97 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae BS455 draft (113 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae 2081685 draft (13 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae 2070425 draft (60 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae 2090008 draft (40 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae GA41538 draft (14 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae GA49138 draft (12 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae GA47281 draft (16 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae GA41301 draft (17 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae NP070 draft (10 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae 4027-06 draft (7 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae GA47388 draft (7 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae GA19451 draft (18 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae GA17971 draft (10 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae GA17328 draft (17 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae GA16121 draft (7 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae GA13637 draft (21 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae GA13494 draft (15 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae GA47360 draft (16 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae GA16242 draft (12 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae GA13856 draft (10 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae GA11426 draft (13 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae GA07643 draft (6 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae GA49542 draft (9 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae GA47461 draft (7 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae GA14688 draft (15 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae EU-NP04 draft (12 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae EU-NP02 draft (13 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae GA13224 draft (19 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae GA13499 draft (18 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae GA40183 draft (9 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae GA44386 draft (13 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae GA43257 draft (11 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae EU-NP03 draft (10 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae 3063-00 draft (9 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae 2071004 draft (23 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae GA17484 draft (6 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae GA52612 draft (10 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae 2082239 draft (24 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae 2081685 draft (12 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae 2070035 draft (24 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae GA14373 draft (18 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae England14-9 draft (8 frags),BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
Streptococcus pneumoniae CGSP14 chromosome,BacteriaFamilies,Streptococcaceae,Streptococcus pneumoniae
