Target Description	a483920-2391847-070525-424_A01	a174305-8347510-070525-424_A02	a592183-1029384-070525-424_A03	a381927-5647382-070525-424_A04	a849201-8374629-070525-424_A05	a720394-6583721-070525-424_A06	a483920-2391847-070525-428_A01	a174305-8347510-070525-428_A02	a592183-1029384-070525-428_A03	a381927-5647382-070525-428_A04	a849201-8374629-070525-428_A05	a720394-6583721-070525-428_A06
Escherichia coli C354_03B draft (417 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli BIDMC 39 draft (30 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Clostridium saccharolyticum WM1 chromosome	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary	Secondary
GB virus C genomic RNA												
Lactococcus garvieae DCC43 draft (68 frags)												
Streptococcus sanguinis ATCC 49296 draft (20 frags)				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Klebsiella pneumoniae KCTC 2242 plasmid pKCTC2242 												
Anaerostipes caccae DSM 14662 draft (39 frags)	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary	Secondary
Klebsiella pneumoniae CHS 27 draft (37 frags)												
Escherichia coli O111:H8 str. CVM9570 draft (633 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Bacteroides ovatus 3_8_47FAA draft (42 frags)	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary
Staphylococcus aureus M0026 Staphylococcus epidermidis M0026 draft (69 frags)												
Escherichia coli O111:H- str. 11128				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Lactobacillus brevis plasmid pRH45II 												
Shigella flexneri 6603-63 draft (65 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Enterococcus faecium ERV26 draft (295 frags)												
Streptococcus agalactiae CCUG 44104 draft (173 frags)												
Gardnerella vaginalis 1500E draft (27 frags)				Secondary		Secondary				Secondary	Secondary	Secondary
Escherichia coli plasmid pMG828-4 												
Bacteroides thetaiotaomicron CL09T03C10 Bacteroides finegoldii CL09T03C10 draft (16 frags)	Secondary	Secondary	Secondary	DETECTED	DETECTED	DETECTED	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary
Lachnospiraceae bacterium MSX33 draft (99 frags)	Secondary	Secondary	Secondary				Secondary	Secondary	Secondary			
Enterococcus faecalis ATCC 29200 draft (28 frags)												
Pectobacterium carotovorum subsp. carotovorum strain NCPPB 3395 draft (118 frags)												
Cronobacter pulveris 1160 draft (137 frags)					Secondary					Secondary	Secondary	Secondary
Streptococcus pyogenes ABC020031290 draft (3 frags)												
Escherichia coli 2862600 draft (159 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Bacteroides fragilis str. S6L3 draft (119 frags)	Secondary	Secondary	Secondary				Secondary	Secondary	Secondary		Secondary	
Alistipes onderdonkii DSM 19147 draft (32 frags)	Secondary	Secondary	Secondary	DETECTED	DETECTED	DETECTED	Secondary	DETECTED	Secondary	DETECTED	DETECTED	DETECTED
Enterococcus faecalis B382 draft (6 frags)												
Escherichia coli O157:H7 str. 2011EL-2312 draft (217 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Bacteroides fragilis str. S6R8 draft (134 frags)	Secondary	Secondary	Secondary				Secondary	Secondary	Secondary			
Escherichia coli p0305293.15 draft (167 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus sobrinus TCI-376 draft (511 frags)				Secondary		Secondary				Secondary		Secondary
Streptococcus agalactiae SGBS014 draft (28 frags)												
Edwardsiella tarda 080813 plasmid 2 												
Lactobacillus plantarum subsp. plantarum ST-III plasmid pST-III 												
Bacteroides pyogenes F0041 draft (186 frags)	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary
Lactococcus phage ul36.t1												
Hop stunt viroid isolate alm-zahaf1												
Propionibacterium acnes HL067PA1 draft (54 frags)												
Escherichia coli KTE73 draft (88 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Clostridiales bacterium VE202-16 draft (353 frags)		Secondary						Secondary				
Streptococcus pyogenes MGAS8232 chromosome												
Propionibacterium acnes TypeIA2 P.acn33 chromosome												
Streptococcus agalactiae SGBS029 draft (22 frags)												
Streptococcus pneumoniae ICE44 draft (83 frags)												
Escherichia coli P0304816.10 draft (179 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli 6-175-07_S3_C3 draft (106 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Staphylococcus epidermidis MC16 draft (246 frags)												
Escherichia coli E128010 draft (284 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Chicken anemia virus DNA												
Escherichia coli 2875150 draft (276 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Avian gyrovirus 2 strain G17												
Human papillomavirus type 6 complete genome isolate 79												
Streptococcus pneumoniae SPN1041 draft (52 frags)												
Streptococcus pyogenes ABC020047959 draft (8 frags)												
Enterococcus faecalis 7330257-1 draft (20 frags)												
Lactococcus lactis subsp. cremoris MG1363 chromosome												
Brenneria sp. EniD312 draft (10 frags)											Secondary	
Escherichia coli 93.0624 draft (49 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus pyogenes ABC020048395 draft (10 frags)												
Streptococcus mutans NVAB draft (102 frags)												
Lactobacillus delbrueckii subsp. bulgaricus ND02 chromosome												
Escherichia coli UMEA 3097-1 draft (31 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus sobrinus TCI-53 draft (359 frags)												
Escherichia coli O104:H4 str. 11-02318 draft (43 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Staphylococcus epidermidis VCU127 draft (81 frags)												
Escherichia coli KTE236 draft (62 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli KTE160 draft (110 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli KTE165 draft (22 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Tobacco mosaic virus isolate Longlin-1					Secondary							
Streptococcus pneumoniae SPN072838 draft (25 frags)												
Enterococcus faecalis MMH594 draft (39 frags)												
Escherichia coli 2-316-03_S4_C1 draft (154 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli HVH 95 (4-6074464) draft (62 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli O104:H4 str. Ec11-4984 draft (39 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli KTE103 draft (109 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Mycoplasma pulmonis UAB CTIP												
Kandleria vitulina WCE2011 draft (44 frags)												
Streptococcus gallolyticus UCN34 chromosome				Secondary		Secondary				Secondary	Secondary	Secondary
Bacteroides vulgatus dnLKV7 draft (36 frags)	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary
Salmonella enterica subsp. enterica serovar Heidelberg str. CFSAN002064 plasmid 												
Shigella flexneri Shi06AH116 draft (322 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli O157:H7 str. 2011EL-2101 draft (183 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Staphylococcus sp. C80 Staphylococcus hominis subsp. hominis C80 draft (41 frags)												
Enterobacter sp. BIDMC 28 draft (16 frags)												
Streptococcus pyogenes ABC020030063 draft (12 frags)												
Haemophilus influenzae F3031 chromosome				Secondary						Secondary		
Escherichia coli UMEA 3220-1 draft (33 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli O113:H21 str. 07-4224 draft (73 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Enterococcus faecalis 2630V05 draft (30 frags)												
Streptococcus sp. SK643 -1 draft (31 frags)				Secondary		Secondary				Secondary	Secondary	Secondary
Streptococcus sobrinus TCI-367 draft (325 frags)												
Escherichia coli 53638 plasmid p53638_226 										Secondary	Secondary	Secondary
Human papillomavirus type 6 complete genome isolate 12												
Escherichia coli O157:H7 str. F6751 draft (192 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Lactobacillus delbrueckii subsp. bulgaricus draft (14 frags)												
Streptococcus oralis SK610 draft (31 frags)				Secondary		Secondary				Secondary	Secondary	Secondary
Klebsiella pneumoniae BIDMC 32 draft (45 frags)												
Mobiluncus mulieris ATCC 35243 draft (65 frags)												
Enterococcus faecium E1861 draft (25 frags)												
Streptococcus mutans NLML4 draft (116 frags)												
Escherichia coli plasmid pEC278 												
Streptococcus pneumoniae GA49138 draft (12 frags)												
Escherichia coli LAU-EC7 draft (77 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Human papillomavirus type 6 complete genome isolate 120												
Parasutterella excrementihominis YIT 11859 draft (103 frags)	Secondary	Secondary	DETECTED				Secondary	DETECTED	Secondary			
Streptococcus suis GZ1 chromosome												Secondary
Escherichia coli H299 draft (229 frags)				Secondary	Secondary	Secondary		DETECTED		Secondary	Secondary	Secondary
Streptococcus pneumoniae DAR3264 draft (55 frags)												
Staphylococcus epidermidis APO35 draft (263 frags)												
Actinobacillus minor 202 draft (154 frags)										Secondary		
Streptococcus pneumoniae PNI0199 draft (143 frags)												
Escherichia coli P0302308.5 draft (133 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Pseudomonas nitroreducens strain B draft (403 frags)												
Streptococcus pneumoniae 06-01-003MEF draft (343 frags)												
Escherichia coli 94.0618 draft (391 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli 3-475-03_S4_C1 draft (105 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Citrobacter freundii CFNIH1					Secondary	Secondary				Secondary	Secondary	Secondary
Staphylococcus epidermidis E13A draft (56 frags)												
Escherichia coli UMEA 3292-1 draft (92 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Propionibacterium acnes HL007PA1 draft (38 frags)												
Human papillomavirus type 6 complete genome isolate LP182												
Escherichia coli p0305293.10 draft (189 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Lactobacillus kunkeei EFB6 draft (55 frags)												
Pseudomonas aeruginosa VRFPA05 draft (170 frags)												
Escherichia coli DEC8B draft (100 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Lactobacillus gastricus PS3 draft (80 frags)												
Bacteroides dorei CL03T12C01 draft (47 frags)	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary
Pseudomonas aeruginosa LCT-PA220 draft (189 frags)												
Salmonella enterica subsp. enterica serovar Typhimurium plasmid R64 												
Enterococcus faecalis strain MB 5259 draft (38 frags)												
Streptococcus ratti FA-1 draft (6 frags)				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Streptococcus pneumoniae PCS8235 chromosome												
Escherichia coli HVH 189 (4-3220125) draft (63 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus anginosus SK52 = DSM 20563 strain SK52 draft (109 frags)				Secondary		Secondary				Secondary		Secondary
Haemophilus parasuis ZJ0906												
Human gyrovirus type 1 strain G13												
Enterococcus faecalis SF350 draft (49 frags)												
Escherichia coli H30 draft (75 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Enterococcus faecalis 7330245-2 draft (30 frags)												
Enterococcus faecium H17575 draft (28 frags)												
Pseudomonas aeruginosa PAO1-GFP draft (22 frags)												
Human papillomavirus type 6 complete genome isolate 76												
Pseudomonas aeruginosa JD325 draft (2141 frags)												
Enterococcus faecalis TX1322 draft (116 frags)												
Enterococcus faecalis B2670 draft (60 frags)												
Corynebacterium sp. KPL1855 draft (37 frags)												
Shigella flexneri Shi06HN006				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli 907713 draft (258 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus anginosus subsp. whileyi MAS624 DNA				Secondary		Secondary				Secondary		Secondary
Bifidobacterium sp. AGR2158 draft (20 frags)				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Escherichia coli KO11FL plasmid pEKO1101 												
Streptococcus agalactiae CCUG 37739 draft (22 frags)												
Escherichia coli UMEA 3041-1 draft (56 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Tobacco mosaic virus isolate Ancestor					Secondary							
Serratia sp. PRI-2C draft (104 frags)												
Escherichia coli MP021552.7 draft (259 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus pneumoniae 2071004 draft (23 frags)												
Streptococcus pyogenes ABC020047993 draft (12 frags)												
Enterococcus faecalis ATCC 27275 draft (22 frags)												
Escherichia coli strain E. coli draft (186 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Klebsiella pneumoniae MGH 66 draft (66 frags)												
Klebsiella pneumoniae UCI 56 draft (24 frags)												
Escherichia coli 3-475-03_S4_C2 draft (170 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus iniae KCTC 11634BP draft (174 frags)				Secondary		Secondary				Secondary		Secondary
"Saccharomyces pastorianus Weihenstephan 34/70, combined chrs"												
Escherichia coli O25b:H4-ST131 str. EC958 Escherichia coli O25b:ST131 str. JIE186 draft (240 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Pseudomonas sp. TS44 Pseudomonas stutzeri TS44 draft (78 frags)												
Escherichia coli O157:H7 str. 1044 draft (70 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli O157:H7 str. TW14359 chromosome				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Staphylococcus epidermidis VCU129 draft (36 frags)												
Leuconostoc mesenteroides mesenteroides FR52 plasmid pFR18 												
Pseudomonas aeruginosa BWHPSA016 draft (22 frags)												
Escherichia coli EC1863 draft (412 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Chicken anemia virus strain GD-N-12												
Escherichia coli B103 draft (127 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Erwinia amylovora UPN527 draft (18 frags)												
Bifidobacterium longum subsp. longum ATCC 55813 draft (140 frags)				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Ruminococcus torques L2-14 draft genome	Secondary	DETECTED	DETECTED	Secondary	DETECTED	DETECTED	DETECTED	Secondary	Secondary	Secondary	DETECTED	DETECTED
Streptococcus pneumoniae GA49542 draft (9 frags)												
Escherichia coli KTE193 draft (64 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Serratia fonticola AU-AP2C draft (34 frags)												
Enterococcus faecium E2297 draft (69 frags)												
Streptococcus pneumoniae Sp647 draft (95 frags)												
Gardnerella vaginalis 6119V5 draft (12 frags)				Secondary		Secondary				Secondary	Secondary	Secondary
Streptococcus pneumoniae 357 draft (142 frags)												
Gardnerella vaginalis JCP7275 draft (202 frags)				Secondary		Secondary				Secondary	Secondary	Secondary
Enterobacter mori LMG 25706 draft (139 frags)					Secondary					Secondary	Secondary	Secondary
Enterococcus faecium E1972 draft (35 frags)												
Pepino mosaic virus TGBp1 TGBp2 and TGBp3 genes genomic RNA strain US2 isolate Mu 04.8US	Secondary											
Streptococcus pneumoniae EU-NP03 draft (10 frags)												
Proteus mirabilis ATCC 29906 draft (115 frags)												
Escherichia coli HVH 106 (4-6881831) draft (24 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Shigella flexneri Shi06AH135 draft (302 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli 2875000 draft (124 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli O157:H7 str. K1793 draft (102 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Atopobium minutum 10063974 draft (3 frags)												
Escherichia coli LF82				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli O121:H19 str. 03-3227 draft (203 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Edwardsiella tarda EIB202 chromosome												
Escherichia coli SCD1 draft (130 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Enterobacter cloacae MGH 54 draft (24 frags)											Secondary	
Pseudomonas pseudoalcaligenes KF707 draft (233 frags)												
Lactobacillus helveticus DPC 4571												
Chicken anemia virus isolate 6 												
Pectobacterium wasabiae WPP163 chromosome												
Shigella sonnei plasmid pKYM 												
Lactobacillus reuteri I5007												
Klebsiella pneumoniae CHS 75 draft (37 frags)												
Escherichia coli 5-366-08_S4_C1 draft (217 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus dysgalactiae subsp. equisimilis SK1249 draft (231 frags)				Secondary		Secondary				Secondary		Secondary
Lactobacillus paracasei N1115 plasmid 												
Escherichia coli UMNK88 plasmid pUMNK88_K88 					Secondary					Secondary	Secondary	Secondary
Escherichia coli O55:H7 str. 3256-97 draft (188 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Human papillomavirus type 6 complete genome isolate 1												
Enterococcus faecium E155 draft (495 frags)												
Klebsiella pneumoniae NTUH-K2044 plasmid pK2044 												
Lactobacillus rhamnosus HMP0056 Lactobacillus rhamnosus LMS2-1 draft (116 frags)												
Enterobacter sp. MGH 16 draft (7 frags)											Secondary	Secondary
Bacteroides faecis MAJ27 draft (53 frags)	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary
Dickeya zeae Ech1591 chromosome												
Streptococcus agalactiae GB00245 draft (18 frags)												
Escherichia coli KTE240 draft (57 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Enterococcus faecium R494 draft (237 frags)												
Lactobacillus mali KCTC 3596 = DSM 20444 draft (196 frags)												
Streptococcus agalactiae strain FNA07 draft (66 frags)												
Salmonella enterica subsp. arizonae serovar 62:z36:- str. RKS2983												
Actinomyces sp. oral taxon 170 str. F0386 draft (99 frags)												
Lactococcus lactis subsp. cremoris SK11 plasmid 4 												
Cucumber green mottle mosaic virus isolate CGMMV-chb												
Ruminococcus obeum ATCC 29174 draft (62 frags)	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary
Enterococcus faecium UAA949 draft (55 frags)												
Chicken anemia virus isolate 14 												
Prevotella sp. HJM029 draft (181 frags)												
Enterobacter sp. MGH 11 draft (24 frags)												
Bifidobacterium breve DSM 20213 = JCM 1192 strain DSM 20213 draft (117 frags)				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Enterobacter sp. EGD-HP1 draft (37 frags)										Secondary	Secondary	Secondary
Corynebacterium aurimucosum ATCC 700975 chromosome												
Pseudomonas aeruginosa str. J 1532 draft (2544 frags)												
Catonella morbi ATCC 51271 draft (26 frags)	Secondary	Secondary	Secondary	DETECTED	DETECTED	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary
Escherichia coli 6-537-08_S4_C1 draft (129 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Escherichia coli O25b:H4-ST131 str. EC958 chromosome				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Aggregatibacter actinomycetemcomitans D11S-1 chromosome				Secondary						Secondary		
Escherichia coli 2-427-07_S3_C3 draft (88 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Streptococcus macedonicus ACA-DC 198 plasmid pSMA198 												
Klebsiella pneumoniae MGH 18 draft (10 frags)												
Streptococcus pyogenes MGAS1882 chromosome												
Escherichia coli 6-175-07_S1_C2 draft (145 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Salmonella enterica subsp. salamae str. 3588/07 draft (138 frags)												
Streptococcus sobrinus TCI-395 draft (379 frags)												
Rothia aeria F0474 draft (50 frags)												
Escherichia coli O104:H4 str. 11-02913 draft (37 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Enterococcus faecium 9830091-5 draft (30 frags)												
Escherichia coli EC1735 draft (430 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus agalactiae GB00909 draft (22 frags)												
Mobiluncus curtisii ATCC 43063 chromosome												
Klebsiella pneumoniae subsp. pneumoniae Kp13 plasmid pKP13a 												
Escherichia coli A2363 plasmid pAPEC-O2-R 					Secondary	Secondary				Secondary	Secondary	Secondary
Escherichia coli HVH 25 (4-5851939) draft (93 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Klebsiella pneumoniae BIDMC 2A draft (12 frags)												
Escherichia coli KTE28 draft (33 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus agalactiae MRI Z1-022 draft (76 frags)												
Lactobacillus sakei subsp. sakei JCM 1157 draft (37 frags)												
Streptococcus pneumoniae 2070425 draft (60 frags)												
Tobacco mild green mosaic virus isolate Xiamen					DETECTED							
Streptococcus pyogenes GA41208 draft (45 frags)												
Escherichia coli XH001 draft (108 frags)				Secondary	Secondary	Secondary	Secondary	Secondary		Secondary	Secondary	Secondary
Enterococcus hirae ATCC 9790 draft (34 frags)												
Pantoea sp. A4 draft (72 frags)												
Prevotella pleuritidis JCM 14110 draft (49 frags)												
Escherichia coli TOP2515 draft (2560 frags)				Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary
Streptococcus pneumoniae BS455 draft (113 frags)												
GB virus C genomic RNA												
Lachnospiraceae bacterium VE202-12 draft (501 frags)	Secondary	Secondary	Secondary	Secondary	Secondary	Secondary	DETECTED	Secondary	Secondary	Secondary	Secondary	Secondary
Enterococcus faecium E3346 draft (57 frags)												
Klebsiella pneumoniae UCICRE 2 draft (15 frags)												
Enterococcus faecalis 5952 draft (24 frags)												
Escherichia coli MS 145-7 draft (143 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Clostridium beijerinckii NCIMB 8052 chromosome												
Escherichia coli C12_92 draft (223 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
"Saccharomyces cerevisiae AWRI1631, combined chrs"												
Escherichia coli O157:H7 str. 2011EL-2092 draft (174 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Enterococcus faecalis 7330259-5 draft (25 frags)												
Escherichia coli KTE214 draft (45 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli BIDMC 62 draft (21 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus pyogenes ABC020057168 draft (22 frags)												
Human papillomavirus type 6 complete genome isolate 78												
Escherichia coli LAU-EC9 draft (114 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Shigella flexneri Shi06HN023 draft (299 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli DEC3B draft (61 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Lactococcus phage CB13					Secondary	Secondary					Secondary	
Streptococcus pneumoniae GA13637 draft (21 frags)												
Streptococcus suis YS43 draft (67 frags)						Secondary				Secondary		Secondary
Klebsiella pneumoniae DMC0526 draft (167 frags)												
Escherichia coli strain E. coli draft (284 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli KTE92 Klebsiella sp. KTE92 draft (34 frags)												
Streptococcus agalactiae SS1218 draft (70 frags)												
Human papillomavirus type 6 complete genome isolate 100												
Staphylococcus epidermidis Scl31 draft (401 frags)												
Enterococcus faecium NRRL B-2354 plasmid pNB2354_1 												
Escherichia coli KTE114 draft (37 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus mitis strain SK667 draft (15 frags)						Secondary				Secondary	Secondary	Secondary
Chicken anemia virus attenuated isolate SMSC-1P60												
Klebsiella pneumoniae subsp. pneumoniae KPNIH7 draft (160 frags)												
Klebsiella pneumoniae BIDMC 18B draft (25 frags)												
Klebsiella pneumoniae CHS 50 draft (22 frags)												
Tobacco mosaic virus isolate Pingtan-2					Secondary							
Escherichia coli C80_08 draft (284 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Morganella morganii strain M203 plasmid R485 												
Streptococcus pneumoniae GA44386 draft (13 frags)												
Streptococcus agalactiae GB00206 draft (33 frags)												
Klebsiella pneumoniae CHS 71 draft (23 frags)												
Streptococcus peroris ATCC 700780 draft (17 frags)				Secondary	Secondary	Secondary				Secondary	Secondary	Secondary
Human papillomavirus type 6 complete genome isolate 37												
Streptococcus pyogenes ABC020050193 draft (2 frags)												
Ruminococcaceae bacterium CC59_002D Ruminococcus lactaris CC59_002D draft (41 frags)	DETECTED	DETECTED	DETECTED	Secondary	Secondary		Secondary	DETECTED	DETECTED	Secondary	Secondary	
Staphylococcus epidermidis VCU045 draft (62 frags)												
Lactococcus garvieae ATCC 49156 draft (16 frags)												
Escherichia phage 1720a-02												
Enterobacter cloacae subsp. cloacae ATCC 13047 chromosome											Secondary	
Escherichia coli EC1737 draft (500 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Enterococcus faecalis TX4000 draft (77 frags)												
Streptococcus suis ST3 chromosome												Secondary
Escherichia coli 93.0055 draft (412 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli strain E. coli draft (93 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Streptococcus intermedius BA1 draft (48 frags)				Secondary		Secondary				Secondary	Secondary	Secondary
Klebsiella pneumoniae MGH 63 draft (155 frags)												
Bacteroides fragilis str. S23L24 draft (122 frags)	Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary		Secondary	
Lactococcus garvieae UNIUD074 draft (25 frags)												
Escherichia coli 95JB1 draft (86 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Escherichia coli BIDMC 82 draft (146 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Salmonella enterica subsp. houtenae str. ATCC BAA-1581 draft (7 frags)												
Staphylococcus epidermidis NIHLM001 draft (87 frags)												
Actinomyces oris K20 draft (771 frags)												
Escherichia coli KTE87 draft (50 frags)				Secondary	Secondary	Secondary		Secondary		Secondary	Secondary	Secondary
Enterococcus faecium DO plasmid 2 												
Escherichia coli ISC56 draft (1186 frags)												
Candidatus Prevotella conceptionensis 9403948 draft (400 frags)												
Streptococcus dysgalactiae subsp. equisimilis SK1250				Secondary		Secondary				Secondary		Secondary
Klebsiella pneumoniae UCI 21 draft (19 frags)												
Enterococcus faecium E980 draft (131 frags)												
Prevotella ruminicola 23 chromosome												
